,user_id,item_id,rating,timestamp
30312,295,56,4,879517348
66061,605,124,3,879365748
16975,178,724,4,882827433
85883,807,229,4,892530752
70343,648,133,4,882212651
40130,373,228,4,877106328
30009,293,1286,4,888906844
26129,268,257,4,875742866
68096,625,174,4,891263589
49161,440,462,5,891577994
57235,507,1237,5,889964311
77149,713,311,3,888882040
95904,907,472,5,880159360
16745,177,160,4,880131011
4097,37,50,5,880915838
85325,804,1041,3,879446037
63678,574,213,4,891279712
80772,757,343,3,888443555
66475,608,318,4,880404916
47154,423,754,4,891394832
75739,699,544,4,879147109
94419,894,328,4,879896466
60558,540,100,5,882156948
50670,453,427,3,877554174
22970,234,629,4,892335042
80547,753,527,4,891401510
54792,488,207,3,891294942
6006,59,845,5,888203579
65891,601,1540,2,876350017
86305,815,167,2,878697705
67563,621,50,5,874965407
54911,489,902,4,891448931
44474,405,513,1,885546112
69049,637,922,1,882902487
46619,417,357,5,879647118
19366,199,7,4,883782854
21863,223,1,4,891549324
55069,493,879,4,884129823
81176,758,716,2,881978864
2210,13,261,1,883670785
46717,417,614,3,879648156
57283,508,150,5,883767325
39347,363,698,2,891495987
16519,174,41,1,886515063
20391,208,88,5,883108324
60443,538,181,3,877107700
91819,877,216,4,882677827
53956,481,663,4,885828297
59759,536,304,3,882317183
7269,69,307,2,882027204
70262,647,604,4,876537591
36842,339,632,4,891033794
45560,407,316,4,887833034
5582,56,761,3,892679333
51848,458,97,1,886397931
17157,180,961,5,877544384
79224,740,294,4,879523187
74009,678,332,4,879544254
831,7,178,4,891350932
30325,295,485,4,879517558
24252,249,203,5,879572167
76236,707,297,3,880060261
25865,267,141,4,878972147
45473,407,427,4,876338966
30844,298,311,3,884126552
27728,276,248,4,882659269
86288,815,386,2,878696563
12445,119,100,5,874774575
16426,174,696,4,886434087
18738,194,215,3,879524291
64076,581,285,5,879641533
62194,554,1028,3,876551044
33185,312,657,5,891698485
18962,195,213,4,883934680
23473,239,509,5,889180071
85861,807,186,4,892530004
34933,326,205,4,879875507
27557,276,447,4,874792663
88621,845,1399,3,885409493
93231,886,4,3,876031601
37485,344,198,5,884814507
55918,498,11,3,881956576
1466,11,300,3,891902092
92026,880,294,4,880166557
13065,126,260,1,887855173
18708,194,433,3,879523104
97724,927,422,4,879199110
52222,463,347,1,889936589
10984,101,975,2,877136659
86166,815,705,5,878693183
29757,293,325,2,888904353
95476,901,949,3,877131500
91130,869,298,3,884491734
72778,663,1011,3,889493027
90580,864,109,5,888888994
75545,697,284,5,882622581
41707,385,942,2,879446208
44495,405,699,2,885546247
72633,661,79,5,886841798
23410,239,508,5,889178798
34980,326,701,4,879876141
89967,856,322,4,891489593
1171,7,579,4,892133361
78692,731,216,5,886184682
15579,158,568,4,880134532
98284,933,70,2,874855020
48523,435,780,2,884133284
6743,62,207,3,879375676
11731,109,940,3,880583133
30163,294,50,5,877819353
34611,323,15,3,878739393
3817,28,573,4,881961842
90521,864,24,5,888887502
30449,295,450,4,879519438
74759,686,179,5,879545814
71631,655,863,3,887473995
68493,629,132,5,880117395
84840,799,690,3,879253668
3323,23,50,4,874784440
49086,438,21,2,879868683
63778,577,471,3,880471640
69458,641,338,3,879369958
32819,309,333,3,877370419
28829,286,208,4,877531942
6733,62,382,3,879375537
94431,894,306,4,879896756
78148,724,326,4,883757671
29733,292,135,4,881105701
32946,311,176,4,884365104
63478,569,100,5,879793784
16607,176,268,5,886046979
80962,758,253,5,880672855
93510,887,1473,1,881379522
90805,866,344,2,891221165
38213,347,203,5,881654232
23893,244,581,4,880607903
26719,270,185,5,876955938
76061,705,275,5,883427048
33008,311,365,4,884365580
58169,523,451,5,883702441
57866,519,336,5,883248595
61585,551,333,5,892775584
49554,447,508,3,878854195
53266,474,646,4,887925395
7155,65,531,4,879218328
14212,144,276,3,888104122
20347,207,158,3,878191798
29640,292,285,4,881103896
366,3,349,3,889237269
68839,634,1084,2,875728783
9652,92,238,5,875654159
58768,528,82,4,886101632
62284,556,603,5,882136440
67541,621,561,4,874964945
88337,843,218,2,879443297
27835,277,405,3,879544027
82518,774,222,3,888558539
77368,715,232,4,875964905
13861,136,204,4,882848866
75608,698,187,2,886366916
23308,237,176,3,879376328
81041,758,23,4,881975814
25685,264,204,5,886123472
88660,846,178,4,883947630
25896,267,33,5,878972650
12313,117,1012,4,881008815
12947,125,687,3,892836268
6635,62,238,5,879373568
124,1,45,5,875241687
23101,235,198,3,889655044
44529,405,537,1,885546445
30810,297,31,3,881708087
75395,695,286,3,888805913
96895,918,137,5,891987879
45419,407,183,4,875046799
6459,60,420,4,883327113
17125,180,83,5,877128388
62558,561,185,4,885807173
5282,49,231,3,888069579
86175,815,168,3,878693424
35821,330,559,3,876547500
19973,201,269,3,886013700
42906,393,1446,5,887746346
65373,593,159,4,875671302
49277,442,230,3,883390466
60598,540,240,3,882157662
36113,334,286,4,891544049
23121,235,193,5,889655204
10767,99,751,4,885678397
48936,437,696,3,880142991
13538,130,1279,4,876251217
18754,194,99,3,879524643
18701,194,654,2,879522445
98225,933,367,4,874854190
53732,479,235,3,879460503
61366,548,340,1,891042794
24413,250,244,4,878089786
69343,640,11,4,874777440
15383,156,357,4,888185677
23902,244,1178,3,880608134
59100,532,915,4,891909850
94875,896,392,3,887160187
2679,18,517,2,880129388
21416,221,76,4,875246662
86035,810,338,4,891873660
84089,795,831,2,880560971
25167,257,57,5,879547717
11674,109,62,3,880578711
11189,102,47,2,888803636
8618,85,216,3,879454500
40219,374,762,5,880393460
91393,870,644,2,882123665
45904,412,480,4,879717147
71152,653,444,1,880153329
8607,85,707,4,879454350
54898,489,339,3,891448428
46504,416,199,5,893214225
17142,180,658,5,877355598
41198,380,433,3,885479186
3361,23,89,5,874785582
98311,933,1183,3,874938596
86338,816,271,4,891711378
55813,497,790,2,879362720
47046,422,273,5,875129791
29338,291,1067,4,874805892
82552,774,293,1,888559123
81013,758,144,4,881975267
30607,296,153,4,884197419
4163,38,144,5,892430369
81451,763,280,2,878915015
35164,327,98,4,887746196
48997,437,244,3,881001270
36225,334,1226,4,891545540
8417,83,755,5,887665423
24064,246,672,4,884923047
50187,450,686,4,882473826
44379,405,178,3,885544947
65669,599,748,4,880951144
69061,637,275,3,882903191
15462,157,1244,3,886891194
92066,880,1197,3,880167151
86036,810,331,4,891873686
52474,466,184,4,890285113
27184,275,300,4,875153898
36858,339,673,5,891034071
26512,269,710,1,891449843
46299,416,388,2,886320177
37147,342,606,5,875318882
37199,342,191,5,875319991
65911,601,39,1,876350443
61006,543,591,4,876896210
75686,699,111,3,878881875
37394,343,58,4,876406283
63135,566,83,4,881650148
39549,365,326,2,891303614
64295,586,117,4,884057578
85224,804,444,4,879444743
16454,174,216,5,886439516
22011,224,704,3,888103812
39217,363,906,2,891493795
87187,829,151,4,891990672
10536,95,1188,2,880572787
47802,429,936,4,882385934
73489,669,902,2,891182948
42084,387,199,4,886483858
41169,380,630,2,885478780
79981,749,501,4,878847209
80695,756,432,4,874829258
41508,383,200,5,891193181
29690,292,492,4,881105318
54887,489,752,5,891448109
59461,534,331,4,877807429
69476,641,497,5,879370259
2848,18,82,3,880131236
24127,246,1089,1,884924710
85655,806,273,4,882385524
66848,615,1021,5,879448119
38612,354,659,4,891217221
22725,234,484,5,892078936
47306,425,89,4,878738435
93222,886,512,1,876031526
39504,363,1014,1,891499760
94173,892,182,5,886608507
32779,308,637,3,887741108
80774,757,1,4,888443974
82304,773,665,2,888540187
43124,393,780,4,889731390
96600,916,173,4,880844332
52495,467,264,2,879532296
71315,654,195,4,887864350
33926,315,203,3,879821194
67890,623,291,3,891034129
87608,833,452,1,875224178
67550,621,143,2,874965208
41187,380,238,3,885479057
66402,607,213,4,883880027
79899,748,114,4,879454773
71183,653,620,3,880153740
71879,655,872,3,888685879
74683,684,553,4,878760305
59658,535,86,4,879618385
4044,35,881,2,875459127
69693,642,686,5,886131546
12714,121,235,1,891390579
34788,325,190,4,891478432
91909,878,197,4,880866971
13154,128,216,5,879967102
33451,313,154,2,891014753
61430,548,466,5,891044446
5044,48,202,4,879434791
4808,44,197,4,878347420
69330,639,792,2,891240752
20565,210,755,3,887737631
86808,825,1049,3,880756834
97780,929,89,5,879640126
96437,914,216,3,887122324
95383,900,405,3,877833364
41167,380,708,3,885478759
37112,342,297,3,875318267
13595,130,420,5,876252472
11057,102,301,3,885697464
47444,426,705,5,879441931
72674,662,246,5,880571006
45496,407,443,3,876341493
84742,798,174,4,875743140
28492,280,94,2,891702028
53635,478,26,5,889396212
10572,95,675,2,888954310
68318,627,177,5,879531158
36653,338,168,3,879438225
7595,72,229,1,880037307
55115,493,180,4,884130793
84432,796,775,2,893047691
41537,384,878,4,891274962
623,6,285,3,883599431
47797,429,403,4,882385902
42129,387,294,2,886484413
42168,388,328,4,886439561
33970,316,50,1,880853654
26408,269,160,2,891448220
25703,264,401,5,886123656
29953,293,514,4,888906378
10559,95,471,5,884266051
53267,474,611,4,887925395
87274,830,554,5,891561999
90221,862,151,5,879304196
74557,683,269,3,893282664
90408,863,349,1,889289457
87143,829,170,4,881698933
77942,721,245,3,877137527
47674,429,491,3,882384950
37736,345,1017,2,884991303
83213,786,127,4,882841692
1269,9,201,5,886960055
9147,90,289,3,891382310
25074,256,1228,1,882164643
56670,504,56,3,887832643
59743,535,277,5,879619107
62989,563,233,4,880507165
17108,180,367,1,877127486
21480,222,455,3,877563437
73712,671,265,3,884035992
47856,429,470,5,882386309
56093,499,497,2,885599498
32492,308,283,3,887737194
66404,607,855,4,883880027
93319,886,66,3,876032442
12145,116,332,3,876451998
64705,588,550,3,890026513
2570,16,183,5,877720733
4675,43,742,5,883955650
61572,551,302,3,892775389
96776,916,101,3,880845690
5478,54,1016,4,890609001
65003,592,261,1,882607744
41404,382,508,3,875946029
6488,60,745,5,883327442
97749,928,172,5,880936769
92296,880,697,2,880242281
10118,94,746,4,891721716
81130,758,414,4,881977487
98165,932,109,2,891251891
75705,699,717,1,878882511
94825,896,184,3,887159578
456,5,210,3,875636099
33545,313,608,4,891017585
96521,916,820,2,880843636
59114,532,917,4,892520128
42447,389,407,1,880614292
42260,389,588,5,879991298
5634,56,173,4,892737191
27992,279,209,5,875308987
642,6,460,2,883600004
77851,720,262,4,891262608
39787,370,195,4,879434886
74758,686,197,5,879545814
32060,305,347,3,886308111
90944,868,429,2,877103834
43733,399,123,2,882340807
92501,881,196,3,876538185
40943,379,205,5,880524973
83104,782,1511,2,891500194
37222,343,269,4,876402390
70874,650,389,3,891387571
52915,472,64,5,875981829
16884,178,484,4,882826187
45309,406,601,3,882480749
66905,615,435,5,879449089
26999,271,430,5,885849419
57846,518,1079,1,876824266
95846,907,294,4,880158502
88503,843,542,2,879448392
32125,305,153,3,886323153
17855,184,155,3,889912656
45354,407,8,5,875042425
64689,588,378,3,890026059
21823,222,313,4,883814858
77300,715,195,4,875963657
23027,234,25,3,892335797
48266,434,743,1,886725027
24192,248,96,4,884534968
91467,871,346,3,888192859
16339,172,485,3,875538028
94696,896,482,3,887158359
47858,429,1014,3,882386333
58488,524,955,1,884637914
75315,694,705,5,875728048
782,6,501,5,883602730
89233,848,462,5,887038634
50420,451,887,1,879012858
9977,94,1065,4,885872942
51989,459,969,3,879564882
20636,212,527,5,879303892
18340,189,863,4,893266161
6825,63,6,3,875747439
49267,442,228,5,883390366
11400,106,64,4,881449830
59116,532,1415,2,892520390
10419,95,28,4,879197603
32738,308,729,3,887740254
25423,262,140,2,879794635
50243,450,1039,5,887137271
41940,387,123,3,886480970
13589,130,1220,5,876252343
93695,889,763,4,880177502
38296,348,406,4,886523521
69372,640,663,5,874778240
67124,618,318,5,891307825
71238,654,336,3,887863227
806,7,264,4,891350703
44567,405,1113,1,885546680
92178,880,238,4,880174652
87097,828,510,3,891037231
88649,846,69,5,883947500
24260,249,89,5,879572229
5296,50,1010,5,877052329
755,6,134,5,883602283
58664,527,129,2,879455905
44480,405,1069,1,885546154
31923,303,829,2,879485814
9,1,127,5,874965706
24143,247,151,4,893081396
89789,854,121,1,882813074
20929,215,423,5,891435526
83795,790,1119,4,885156732
84804,798,402,3,875916297
30372,295,84,2,879518107
73445,668,333,3,881524020
64980,592,682,4,882607573
47381,425,1013,1,878739054
68942,634,276,5,877018125
4694,43,486,4,883955969
57469,513,763,3,885062453
219,1,116,3,878542960
75589,698,496,3,886366690
75089,693,11,4,875482197
19915,201,1153,2,884140709
59155,532,66,5,893118712
44194,402,286,5,876266650
20091,205,875,2,888284532
51593,457,4,4,882397829
75940,703,15,5,875242814
70788,650,576,1,891382877
19980,202,172,3,879726778
3568,25,432,2,885852443
58235,524,24,3,884626906
67039,617,569,1,883789537
1550,11,723,5,891904637
64578,588,83,5,890015435
20989,215,226,4,891436633
79007,737,174,2,884314740
63764,577,284,4,880470732
59107,532,164,5,892519934
72661,662,813,3,880570194
41612,385,204,1,879441728
20495,210,50,5,887731014
22545,233,95,5,877661496
32075,305,134,5,886322560
57327,508,443,4,883777071
16021,164,248,4,889402030
9807,92,122,3,875907535
73142,666,270,3,880138720
40176,374,872,5,880392268
18401,190,544,4,891033806
60821,542,721,2,886533003
29914,293,1298,3,888906045
79021,737,428,4,884315066
24559,251,250,3,886272378
43155,393,540,3,889731753
81131,758,218,4,881977487
27155,274,411,3,878945888
50001,450,179,5,882394364
78628,730,273,2,880310324
59851,536,568,4,882360209
22945,234,806,2,892334766
37171,342,1070,3,875319412
38317,348,369,3,886523758
34741,325,357,4,891477957
50283,450,660,4,887660762
41221,380,211,3,885479487
18194,189,275,5,893264194
87669,834,347,4,890860007
63373,568,286,3,877906547
2447,15,925,2,879455764
43697,398,1119,4,875812011
17119,180,732,3,877128137
98216,933,651,3,874854081
51655,457,366,4,882549287
80966,758,338,4,881295151
11170,102,635,2,888803148
60155,537,421,2,886030863
1084,7,452,5,891353860
9401,90,954,4,891385522
41452,383,345,2,891192251
59782,536,8,5,882359047
95205,898,539,3,888294441
2223,13,124,5,884538663
97502,924,211,3,885457891
31378,301,179,3,882076494
30895,298,210,5,884182891
32012,303,1023,2,879544898
